Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Development),Custom field (Issue color),Custom field (Rank),Custom field (Start date),Custom field (Team),Custom field (Vulnerability),Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Create the DataProviders class file,PIAMTK-17,10150,Subtask,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,Medium,Done,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,12/Aug/26 10:29 PM,13/Aug/26 4:29 PM,13/Aug/26 12:37 PM,13/Aug/26 4:29 PM,,0,,,,,,,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,PIAMTK-22,,,,PIAMTK-24,,,,0|i0003z:,,,,,10149,PIAMTK-16,Write Login Tests Suite,Done,13/Aug/26 4:29 PM
Write Login Tests Suite,PIAMTK-16,10149,Story,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,Medium,Done,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,12/Aug/26 10:28 PM,13/Aug/26 9:44 AM,13/Aug/26 12:35 PM,13/Aug/26 9:44 AM,,0,,,,,"* Organize Login Credentials with DataProvider
* Make a test that checks all valid login credentials attempts are successful
* Make a test that checks all invalid login credentials attempts fail",,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,,,,,PIAMTK-20,,,,0|i0003r:,,,,,10218,PIAMTK-21,Write an extensive testing suite for Authentification,Done,13/Aug/26 9:44 AM
Rewrite the 2 tests from the demo-project in a DemoTest class file.,PIAMTK-15,10116,Task,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,Medium,Done,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,11/Aug/26 11:52 PM,13/Aug/26 9:28 AM,13/Aug/26 12:34 PM,12/Aug/26 4:33 PM,12/Aug/26 12:00 AM,0,,,,,Adapt the 2 tests from the demo-project to the current structure.,,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,,,,,,,,,0|i0001i:i,,,,,10112,PIAMTK-11,Rewrite the 2 demo tests,Done,12/Aug/26 4:33 PM
Write the LoginPage (Page-Object model),PIAMTK-14,10115,Task,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,Medium,Done,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,11/Aug/26 11:36 PM,13/Aug/26 9:24 AM,13/Aug/26 9:41 AM,11/Aug/26 11:38 PM,,0,,,,,"* Inspect the +login page+ and find all *relevant locators*. Map the elements to *private By variables*.
* Write useful *public methods*, fulfilling *user actions* on our mapped elements.",,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,,,,,,,,,0|i0000x:,,,,,10112,PIAMTK-11,Rewrite the 2 demo tests,Done,11/Aug/26 11:38 PM
"Create an Enum BrowserType to serve as a ""factory"" for creating the browsers",PIAMTK-13,10114,Subtask,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,Medium,Done,,,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,11/Aug/26 11:01 PM,11/Aug/26 11:01 PM,,11/Aug/26 11:01 PM,,0,,,,,,,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,,,,,,,,,0|i0003j:,,,,,10113,PIAMTK-12,Implement a BaseTest class for initializing the Drivers. Test-classes will inherit the BaseTest class.,Done,11/Aug/26 11:01 PM
Implement a BaseTest class for initializing the Drivers. Test-classes will inherit the BaseTest class.,PIAMTK-12,10113,Task,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,Medium,Done,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,11/Aug/26 10:55 PM,13/Aug/26 8:56 AM,11/Aug/26 10:56 PM,11/Aug/26 11:02 PM,,0,,,,,Implement a class the will support parameters and will initialize different types of Drivers.,,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,,,,,,,,,0|i0001i:,,,,,10112,PIAMTK-11,Rewrite the 2 demo tests,Done,11/Aug/26 11:02 PM
Rewrite the 2 demo tests,PIAMTK-11,10112,Epic,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,High,Done,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,11/Aug/26 10:50 PM,13/Aug/26 9:22 AM,13/Aug/26 9:19 AM,13/Aug/26 9:22 AM,,0,,,,,"Use the demo with the simple tests as example and start building the project. Use the base structure and try following best practices:

* *Exception handling* (throwing them with specific messages, while making sure they stop the failed tests)
* *Encapsulation & separation of concerns*
* *Clean code* without redundancies 
* etc.",,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,,,,,,,,dark_green,0|i00033:,,,,,,,,Done,13/Aug/26 9:22 AM
Implement a clean base structure for the Automation Project,PIAMTK-10,10111,Task,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,High,Done,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,11/Aug/26 10:41 PM,13/Aug/26 9:44 AM,13/Aug/26 9:19 AM,11/Aug/26 10:42 PM,12/Aug/26 12:00 AM,0,newToAutomationTesting,,,,"* Create a new *Java + Maven project*
* Configure its core *dependencies (Selenium + TestNG)*
* Download *2 distinct browser-drivers* and save them in a designated folder (/drivers)
* Organize the project into 3 main packages:
-> *base:* code for initializing the drivers

      → *pages:* code for organizing and mapping buttons and fields

      → *tests:* actual tests to be written",,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,,,,,,,,,0|i0001h:,,,,,10074,PIAMTK-5,Start working on the Automated Testing project,Done,11/Aug/26 10:42 PM
Download corresponding driver,PIAMTK-9,10078,Subtask,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,Medium,Done,,,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,06/Aug/26 11:16 AM,11/Aug/26 10:18 PM,,11/Aug/26 10:18 PM,,0,,,,,,,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,,,,,,,,,0|i0002v:,,,,,10075,PIAMTK-6,Explore the Automated Testing demo.,Done,11/Aug/26 10:18 PM
Clone Github Repo,PIAMTK-8,10077,Subtask,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,Medium,Done,,,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,06/Aug/26 11:16 AM,11/Aug/26 10:18 PM,12/Aug/26 11:04 PM,11/Aug/26 10:18 PM,,0,,,,,,,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,,,,,,,,,0|i0002n:,,,,,10075,PIAMTK-6,Explore the Automated Testing demo.,Done,11/Aug/26 10:18 PM
Choose a subject for the Automated Testing project,PIAMTK-7,10076,Task,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,Medium,Done,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,06/Aug/26 11:04 AM,13/Aug/26 8:56 AM,11/Aug/26 10:18 PM,11/Aug/26 10:18 PM,,0,,,,,Choose a subject for the Automated Testing project and think of a suite of tests to be written.,,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,,,,,,,,,0|i0000z:,,,,,10074,PIAMTK-5,Start working on the Automated Testing project,Done,11/Aug/26 10:18 PM
Explore the Automated Testing demo.,PIAMTK-6,10075,Task,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,Medium,Done,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,06/Aug/26 11:03 AM,15/Aug/26 12:14 PM,15/Aug/26 12:14 PM,11/Aug/26 10:18 PM,,0,,,,,"Explore the *Automated Testing demo* on GitHub

Make sure to download the *browser’s driver* and to place it in the right folder.",,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,,,,,,,,,0|i0001f:,06/Aug/26 12:00 AM,,,,10074,PIAMTK-5,Start working on the Automated Testing project,Done,11/Aug/26 10:18 PM
Start working on the Automated Testing project,PIAMTK-5,10074,Epic,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,Medium,Done,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,06/Aug/26 10:59 AM,13/Aug/26 9:15 AM,13/Aug/26 9:15 AM,13/Aug/26 9:14 AM,,0,,,,,"Work toward the *Automated Testing project*:

* Explore the +demo project+
* Choose a +subject+ for the project
* Write +testing scripts+",,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,,,,,,,,teal,0|i0001z:,,,,,,,,Done,13/Aug/26 9:14 AM
Create a few different tickets and try linking them together.,PIAMTK-4,10073,Task,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,High,Done,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,06/Aug/26 10:52 AM,13/Aug/26 8:57 AM,13/Aug/26 8:59 AM,12/Aug/26 4:34 PM,,0,,,,,Explore with *creating tickets* and *linking them together.*,,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,,,,,,,,,0|i0001r:,,,,,10072,PIAMTK-3,Getting started with Jira,Done,12/Aug/26 4:34 PM
Getting started with Jira,PIAMTK-3,10072,Epic,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,Medium,Done,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,06/Aug/26 10:49 AM,13/Aug/26 9:15 AM,13/Aug/26 9:15 AM,13/Aug/26 9:15 AM,,0,,,,,"Make a new *Jira account*, configure a *space* for creating tickets, *explore tutorials and functionalities.*

+Do some tasks.+",,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,,,,,,,,dark_orange,0|i0001j:,,,,,,,,Done,13/Aug/26 9:15 AM
Complete Get-Started-With-Jira Tutorial,PIAMTK-2,10071,Task,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,Medium,Done,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,06/Aug/26 10:43 AM,13/Aug/26 8:56 AM,,06/Aug/26 10:49 AM,,0,,,,,"Complete the recommended Atlassian University Course for new Jira users:

[https://community.atlassian.com/learning/path/get-the-most-out-of-jira/course/get-started-with-jira|https://community.atlassian.com/learning/path/get-the-most-out-of-jira/course/get-started-with-jira?jobid=108129544&subid=200827139&send_date=8%2F1%2F2026]",,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,,,,,,,,,0|i0001b:,,,,,10072,PIAMTK-3,Getting started with Jira,Done,06/Aug/26 10:49 AM
Create Jira account and a space for tickets,PIAMTK-1,10070,Task,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,Medium,Done,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,06/Aug/26 10:39 AM,13/Aug/26 8:56 AM,06/Aug/26 11:44 AM,06/Aug/26 10:39 AM,,0,newToJira,,,,Get started with a *Jira account* and configure *a space* for creating tickets.,,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,,,,,,,,,0|i00013:,,,,,10072,PIAMTK-3,Getting started with Jira,Done,06/Aug/26 10:39 AM
